market,funding_rounds,founded_month,founded_year,seed,venture,equity_crowdfunding,undisclosed,convertible_note,debt_financing,angel,grant,private_equity,secondary_market,product_crowdfunding,round_A,round_B,round_C,round_D,round_E,round_F,age_first_funding,status_binary
Other,1.0,6.0,2012.0,1750000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07945205479452055,1
Curated Web ,2.0,7.0,2010.0,15000.0,2520000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2520000.0,0.0,0.0,0.0,0.0,0.0,0.0,1
Analytics ,2.0,9.0,2011.0,750000.0,500000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12876712328767123,1
Curated Web ,1.0,4.0,2009.0,50000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
E-Commerce ,1.0,1.0,2012.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2602739726027397,1
Curated Web ,1.0,1.0,2006.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1013698630136988,0
Other,1.0,6.0,2006.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2,0
E-Commerce ,1.0,6.0,2008.0,50000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Software ,1.0,1.0,2010.0,50000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3917808219178083,0
E-Commerce ,1.0,7.0,2012.0,118000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Other,2.0,6.0,2010.0,250000.0,0.0,0.0,0.0,0.0,0.0,250000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Games ,2.0,1.0,2011.0,0.0,503000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4712328767123288,0
Other,3.0,11.0,2006.0,0.0,13708150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6500000.0,0.0,0.0,0.0,0.0,0.8,0
Software ,1.0,1.0,2003.0,0.0,272000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.331506849315068,0
Software ,1.0,8.0,2006.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1095890410958904,0
Other,6.0,1.0,2006.0,0.0,9146354.0,0.0,0.0,270000.0,0.0,0.0,0.0,0.0,0.0,0.0,2850000.0,1000000.0,500000.0,0.0,0.0,0.0,0.5808219178082191,1
E-Commerce ,6.0,1.0,2010.0,1400000.0,9500000.0,0.0,0.0,0.0,2000000.0,0.0,0.0,0.0,0.0,0.0,4500000.0,5000000.0,0.0,0.0,0.0,0.0,0.0,1
Other,3.0,1.0,2007.0,0.0,12500000.0,0.0,0.0,0.0,0.0,300000.0,0.0,0.0,0.0,0.0,5000000.0,7500000.0,0.0,0.0,0.0,0.0,0.2465753424657534,1
Games ,2.0,6.0,2013.0,3987693.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
Other,4.0,1.0,2009.0,0.0,15302260.0,0.0,0.0,0.0,1827500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4575342465753425,1
Finance ,3.0,6.0,2009.0,300000.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.07671232876712329,1
Software ,2.0,1.0,2004.0,0.0,6700000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5000000.0,0.0,0.0,0.0,0.0,0.0,1.8630136986301369,1
